rank,Company Name,Industry,State,City,Metro Area,Growth (%),Revenue ($),Number of Workers,Years on List,URL
1909,Source Mantra,IT Services,New Jersey,South Plainfield,New York City,215.1082,3999665,50,3,source-mantra
1912,MedTouch,Health,Massachusetts,Cambridge,Boston,214.2261,8193892,50,2,medtouch
1920,Phoenix Business,IT Services,Texas,Haltom City,Dallas,212.4099,20538957,50,1,phoenix-business
2021,Nebo,Advertising & Marketing,Georgia,Atlanta,Atlanta,200.2572,6163646,50,4,nebo
2110,C&K Systems,IT Services,South Carolina,Murrells Inlet,Georgetown SC,189.4748,7287582,50,6,ck-systems
2216,Prime-Line,Manufacturing,Arkansas,Malvern,Hot Springs AR,177.6602,30376401,50,3,prime-line
2267,A-Apex Heating and Air,Energy,Texas,Fort Worth,Dallas,172.1708,6497829,50,1,a-apex-heating-and-air
2280,Hale Glass,Construction,California,Placentia,Los Angeles,170.7504,11185299,50,1,hale-glass
2337,Levementum,IT Services,Arizona,Chandler,Phoenix,166.3,9811348,50,2,levementum
2539,Lighthouse Technologies,IT Services,Ohio,Dayton,Dayton OH,148.2986,7796448,50,3,lighthouse-technologies
2550,Kolla Soft,IT Services,Arizona,Scottsdale,Phoenix,147.8684,2545051,50,1,kolla-soft
2586,Faulkner Design Group,Business Products & Services,Texas,Dallas,Dallas,145.2668,10696589,50,1,faulkner-design-group
2613,SAWTST,IT Services,Georgia,Peachtree City,Atlanta,143.7969,8510802,50,4,sawtst
2767,Closet America,Construction,Maryland,Lanham,Washington DC,134.4147,5562108,50,1,closet-america
2964,Appliances Connection,Consumer Products & Services,New York,Brooklyn,New York City,121.6625,115625529,50,1,appliances-connection
2992,Signum Group,Business Products & Services,Georgia,Atlanta,Atlanta,119.7747,9085129,50,3,signum-group
3133,GPS Insight,Software,Arizona,Scottsdale,Phoenix,112.6934,19504937,50,5,gps-insight
3489,Primary Services,Human Resources,Texas,Houston,Houston,94.6559,47647574,50,1,primary-services
3564,Kelton,Advertising & Marketing,California,Culver City,Los Angeles,91.4152,19888984,50,8,kelton
3707,DBAK,IT Services,Colorado,Englewood,Denver,85.869,12243191,50,2,dbak
3858,Reddy Care Physical Therapy,Health,New York,Great Neck,New York City,79.9745,2989511,50,1,reddy-care-physical-therapy
4060,Professional Capital Services,Financial Services,Pennsylvania,Philadelphia,Philadelphia,72.9558,8646753,50,7,professional-capital-services
4237,BCT Consulting,IT Services,California,Fresno,Fresno CA,66.931,4249840,50,5,bct-consulting
4286,SnapCab,Manufacturing,Pennsylvania,Warrington,Philadelphia,65.0846,9842911,50,5,snapcab
4338,Informz,Software,New York,Saratoga Springs,Albany-Schenectady-Troy NY,63.4615,9262493,50,1,informz
4403,Active Web Group,Advertising & Marketing,New York,Hauppauge,New York City,61.2722,2906248,50,1,active-web-group
4496,BESLER Consulting,Health,New Jersey,Princeton,Trenton-Ewing NJ,57.7688,12449559,50,1,besler-consulting
4563,Taylor Creative,Advertising & Marketing,New York,New York,New York City,55.8982,10264536,50,2,taylor-creative
4597,Protonex Technology,Engineering,Massachusetts,Southborough,Worcester MA,54.9599,12653385,50,2,protonex-technology
4771,Money Concepts Capital,Financial Services,Florida,Palm Beach Gardens,Miami,49.6689,58162800,50,1,money-concepts-capital
4829,Via Trading,Business Products & Services,California,Lynwood,Los Angeles,47.8399,37569889,50,8,via-trading
518,1st American Systems and Services,Government Services,Virginia,Falls Church,Washington DC,910.8813,7034278,51,2,1st-american-systems-and-services
829,Altitude Digital,Advertising & Marketing,Colorado,Denver,Denver,549.2299,21903400,51,3,altitude-digital
1438,TSPi,IT Services,Virginia,Sterling,Washington DC,296.6555,28459273,51,3,tspi
2399,Fuzz,Software,New York,Brooklyn,New York City,160.6025,6460313,51,2,fuzz
2565,Cytozyme,Manufacturing,Utah,Salt Lake City,Salt Lake City,146.7688,21059534,51,1,cytozyme
2718,Max Borges Agency,Advertising & Marketing,Florida,Miami,Miami,137.78,9065592,51,6,max-borges-agency
2766,Everstaff International,Human Resources,Ohio,Independence,Cleveland,134.4718,23890009,51,5,everstaff-international
3003,Bottom Line Equipment,Construction,Louisiana,St. Rose,New Orleans-Metairie-Kenner LA,118.8637,38898129,51,6,bottom-line-equipment
3153,Dodge Communications,Advertising & Marketing,Georgia,Alpharetta,Atlanta,111.2918,7363645,51,6,dodge-communications
3420,Kaygen,IT Services,California,Irvine,Los Angeles,97.4897,10944846,51,1,kaygen
3522,EDTS,IT Services,Georgia,Augusta,Augusta-Richmond GA-SC,93.3538,7412606,51,5,edts
3741,Music City Tents & Events,Business Products & Services,Tennessee,Nashville,Nashville,84.5059,4139680,51,2,music-city-tents-events
4022,interRel Consulting Partners,Business Products & Services,Texas,Arlington,Dallas,74.0576,12030940,51,7,interrel-consulting-partners
4158,Prestige Staffing,Human Resources,Georgia,Atlanta,Atlanta,69.4844,19847546,51,5,prestige-staffing
4627,LetterLogic,Business Products & Services,Tennessee,Nashville,Nashville,54.0432,27932820,51,8,letterlogic
4934,Dynamic Language,Business Products & Services,Washington,Seattle,Seattle,44.416,9830277,51,7,dynamic-language
4993,Christian Brothers Automotive,Consumer Products & Services,Texas,Houston,Houston,42.574,22222542,51,2,christian-brothers-automotive
203,VETS Etc.,IT Services,California,Seaside,Salinas CA,2162.0323,6480926,52,2,vets-etc
259,Touchsuite,Software,Florida,Boca Raton,Miami,1769.7794,19209927,52,2,touchsuite
432,Fluent (New York NY),Advertising & Marketing,New York,New York,New York City,1094.3296,52688771,52,1,fluent-new-york-ny
570,Adafruit,Manufacturing,New York,New York,New York City,839.1558,22058337,52,2,adafruit
1015,Johnson Creek Enterprises,Consumer Products & Services,Wisconsin,Hartland,Milwaukee-Waukesha-West Allis WI,438.7342,8512000,52,2,johnson-creek-enterprises
1462,Three Wire Systems,Government Services,Virginia,Falls Church,Washington DC,292.7115,75264568,52,4,three-wire-systems
1579,WebpageFX,Advertising & Marketing,Pennsylvania,Harrisburg,Harrisburg-Carlisle PA,270.2331,4951797,52,2,webpagefx
1760,Design To Delivery,Government Services,Maryland,Bethesda,Washington DC,235.8538,4824832,52,1,design-to-delivery
1878,Legal Copy Services,Business Products & Services,Michigan,Grand Rapids,Grand Rapids-Wyoming MI,218.6257,8133728,52,1,legal-copy-services
2179,Wowrack,IT Services,Washington,Seattle,Seattle,182.2873,5481940,52,1,wowrack
2254,ESO Solutions,Software,Texas,Austin,Austin,173.4856,5474746,52,2,eso-solutions
2541,True Media,Advertising & Marketing,Missouri,Columbia,Columbia MO,148.2519,44787561,52,5,true-media
2980,Redtail Technology,Software,California,Gold River,Sacramento--Arden-Arcade--Roseville CA,120.5819,7311661,52,2,redtail-technology
3142,Independent Financial Group,Financial Services,California,San Diego,San Diego,112.2228,96604900,52,6,independent-financial-group
3297,Adler Windows,Construction,New York,Jamaica,New York City,102.8674,7899903,52,1,adler-windows
3553,Initech Global,IT Services,Michigan,Grand Rapids,Grand Rapids-Wyoming MI,91.9869,5290523,52,1,initech-global
3682,Nexus Systems,Software,Virginia,Falls Church,Washington DC,87.2417,5662290,52,3,nexus-systems
3742,Employco USA,Human Resources,Illinois,Westmont,Chicago,84.4681,169801000,52,1,employco-usa
3935,Zumasys,IT Services,California,Irvine,Los Angeles,77.027,21892185,52,6,zumasys
4104,IntelliGenesis,Government Services,Maryland,Columbia,Baltimore,71.2116,10550357,52,1,intelligenesis
4157,Compliance Management International,Environmental Services,Pennsylvania,North Wales,Philadelphia,69.501,6636007,52,2,compliance-management-international
4327,Temporary Housing Directory,Real Estate,Texas,Plano,Denver,63.8679,54352059,52,7,temporary-housing-directory
4361,TechCXO,Business Products & Services,Georgia,Atlanta,Atlanta,62.8396,9315172,52,3,techcxo
4659,IT Solutions Consulting,IT Services,Pennsylvania,Fort Washington,Philadelphia,53.0497,10467968,52,7,it-solutions-consulting
4750,Instrumart,Business Products & Services,Vermont,South Burlington,Burlington-South Burlington VT,50.2924,32818439,52,6,instrumart
37,OpenRoad Lending,Financial Services,Texas,North Richland Hills,Dallas,6603.3722,8853881,53,1,openroad-lending
79,Clean Energy Experts,Advertising & Marketing,California,Manhattan Beach,Los Angeles,4063.5937,6058237,53,1,clean-energy-experts
143,Market6,Software,Illinois,Deerfield,Chicago,2677.1957,15085838,53,1,market6
144,LiveRamp,Advertising & Marketing,California,San Francisco,San Francisco,2665.2479,21040412,53,1,liveramp
623,Joule Energy,Energy,Louisiana,New Orleans,New Orleans-Metairie-Kenner LA,749.8454,12462915,53,1,joule-energy
776,Renova Energy,Energy,California,Palm Desert,Riverside-San Bernardino-Ontario CA,588.5086,8448000,53,2,renova-energy
1432,GSI,IT Services,Georgia,Canton,Atlanta,297.8365,13102565,53,1,gsi
1862,BBI Technologies,IT Services,California,Santa Clara,San Jose,220.7016,4300746,53,2,bbi-technologies
2243,V12 Group,Advertising & Marketing,New Jersey,Red Bank,New York City,174.1114,14945354,53,5,v12-group
2379,DiMassimo Goldstein,Advertising & Marketing,New York,New York,New York City,161.9588,30615918,53,1,dimassimo-goldstein
2437,Involta,IT Services,Iowa,Cedar Rapids,,157.1996,21139211,53,3,involta
2584,Knock,Advertising & Marketing,Minnesota,Minneapolis,Minneapolis,145.3287,29697952,53,4,knock
3106,Mango Languages,Education,Michigan,Farmington Hills,Detroit,113.9153,8149582,53,4,mango-languages
3533,American Global Logistics,Logistics & Transportation,Georgia,Atlanta,Atlanta,92.9291,200134000,53,3,american-global-logistics
3548,Cortech Engineering,Energy,California,Yorba Linda,Los Angeles,92.1649,19533751,53,1,cortech-engineering
3605,EC Concrete,Construction,Florida,Jacksonville Beach,Jacksonville FL,89.9756,6143085,53,2,ec-concrete
4044,OnSight,Advertising & Marketing,Florida,Sanford,Orlando FL,73.3574,5924467,53,1,onsight
4290,Bluebird Network,Telecommunications,Missouri,Columbia,Columbia MO,64.9866,29231267,53,2,bluebird-network
4311,Liberty Personnel Services,Human Resources,Pennsylvania,King of Prussia,Philadelphia,64.5502,8525735,53,5,liberty-personnel-services
4435,Diono,Consumer Products & Services,Washington,Puyallup,Seattle,60.2377,29653655,53,3,diono
4463,BrandKarma,Health,California,Irvine,Los Angeles,58.9818,9868000,53,1,brandkarma
4709,FirstPerson,Insurance,Indiana,Indianapolis,Indianapolis IN,51.4323,8085377,53,3,firstperson
4715,AudiTec Solutions,Financial Services,Arizona,Gilbert,Phoenix,51.3393,4068000,53,1,auditec-solutions
252,H.Bloom,Consumer Products & Services,New York,New York,New York City,1817.2651,7209607,54,1,hbloom
501,SHINE Systems & Technologies,Government Services,Virginia,Charlottesville,Charlottesville VA,941.5318,13097440,54,2,shine-systems-technologies
651,Vivo Clothing,Retail,Idaho,Coeur d'Alene,Coeur d'Alene ID,707.1836,3601968,54,2,vivo-clothing
698,Five Stones Research,Government Services,Alabama,Brownsboro,Huntsville AL,649.5907,7961703,54,2,five-stones-research
740,Data Systems Integration Group,IT Services,Ohio,Dublin,Columbus OH,619.2321,4732324,54,2,data-systems-integration-group
1307,Alternative Technology Solutions,Software,California,Aliso Viejo,Los Angeles,330.1253,9988274,54,2,alternative-technology-solutions
1967,Clevertech,Software,New York,New York,New York City,206.8862,4223193,54,2,clevertech
2627,ALTEK Information Technology,Health,Maryland,Frederick,Washington DC,142.9768,26236737,54,1,altek-information-technology
3685,IMS ExpertServices,Business Products & Services,Florida,Pensacola,Pensacola-Ferry Pass-Brent FL,86.8865,34688607,54,8,ims-expertservices
3778,Media Prowler,Advertising & Marketing,Virginia,Reston,Washington DC,82.971,23137924,54,3,media-prowler
4830,New Horizon Communications,Telecommunications,Massachusetts,Lexington,Boston,47.8193,48545753,54,4,new-horizon-communications
4878,Eemax,Environmental Services,Connecticut,Waterbury,New Haven-Milford CT,46.5121,22538387,54,1,eemax
4899,Brockwell Technologies,Engineering,Alabama,Huntsville,Huntsville AL,45.849,7753544,54,1,brockwell-technologies
35,Retail Capital,Financial Services,Michigan,Troy,Detroit,6861.3577,7013359,55,1,retail-capital
393,Four Seasons Home Services,Construction,Illinois,Crestwood,Chicago,1190.7212,15595849,55,1,four-seasons-home-services
431,ShayCore Enterprises,Construction,Florida,Jacksonville,Jacksonville FL,1095.3612,8391053,55,3,shaycore-enterprises
576,Rooster Park,Software,Washington,Seattle,Seattle,826.3143,8156197,55,2,rooster-park
839,Neos Consulting Group,IT Services,Texas,Austin,Austin,539.7169,11055671,55,1,neos-consulting-group
906,Landmark Network,Real Estate,California,North Hollywood,Los Angeles,494.5792,9421560,55,3,landmark-network
980,Kovarus,IT Services,California,San Ramon,San Francisco,456.5548,117377345,55,3,kovarus
1208,Tier10,Advertising & Marketing,Virginia,Herndon,Washington DC,361.1093,15510049,55,2,tier10
1378,Precise Leads,Advertising & Marketing,New York,New York,New York City,311.0169,13133811,55,1,precise-leads
1411,QueBIT,IT Services,New York,Scarsdale,New York City,303.4832,19893669,55,8,quebit
1591,Madison Logic,Advertising & Marketing,New York,New York,New York City,267.7793,18731000,55,2,madison-logic
1630,ndVOR Solutions,IT Services,New Jersey,Lawrenceville,Trenton-Ewing NJ,261.2637,2630000,55,1,ndvor-solutions
1767,InfoSmart Technologies,IT Services,Georgia,Suwanee,Atlanta,234.6115,2910508,55,1,infosmart-technologies
1880,InfoObjects,IT Services,California,Santa Clara,San Jose,218.5489,8520144,55,4,infoobjects
1915,Abacus N Bytes,Government Services,Maryland,Rockville,Washington DC,213.1085,4939070,55,2,abacus-n-bytes
2119,Sysazzle,IT Services,Arizona,Phoenix,Phoenix,188.5273,6126794,55,2,sysazzle
2129,HPC Wireless Services,Telecommunications,Connecticut,Danbury,Bridgeport-Stamford-Norwalk CT,187.5894,12768103,55,2,hpc-wireless-services
2186,ProjectXYZ,Government Services,Alabama,Huntsville,Huntsville AL,181.5669,6158605,55,1,projectxyz
2238,Pedigree Technologies,Software,North Dakota,Fargo,Fargo ND-MN,174.4418,5777000,55,3,pedigree-technologies
2370,Launchpad Advertising,Advertising & Marketing,New York,New York,New York City,163.1852,8114000,55,3,launchpad-advertising
2749,Nuvento,IT Services,Kansas,Lenexa,Kansas City MO-KS,135.6673,5201809,55,2,nuvento
2765,Partner's Consulting,IT Services,Pennsylvania,Broomall,Philadelphia,134.4973,5594414,55,3,partners-consulting
2917,Piedmont Hoist & Crane,Manufacturing,North Carolina,Colfax,Greensboro-High Point NC,124.588,19081000,55,1,piedmont-hoist-crane
3162,Thinkgate,Education,North Carolina,Charlotte,Charlotte,110.8946,12246331,55,1,thinkgate
3172,Corporate Computer Solutions,IT Services,Florida,Tampa,Tampa,110.365,5015140,55,1,corporate-computer-solutions
3384,Laser Options,Manufacturing,Arizona,Phoenix,Phoenix,98.9984,6920000,55,3,laser-options
3488,eSquared Communication Consulting,Telecommunications,Arizona,Tempe,Phoenix,94.7103,6602625,55,1,esquared-communication-consulting
3812,NovaVision,Manufacturing,Ohio,Bowling Green,Toledo OH,81.7502,9811086,55,6,novavision
3961,History Associates,Business Products & Services,Maryland,Rockville,Washington DC,76.2257,8430420,55,4,history-associates
4001,National Electronic Attachment,Health,Georgia,Norcross,Atlanta,74.7859,11542980,55,7,national-electronic-attachment
4031,Piston,Advertising & Marketing,California,San Diego,San Diego,73.8399,7642000,55,1,piston
4047,Dynamis,Government Services,Virginia,Arlington,Washington DC,73.209,6009157,55,1,dynamis
4080,Convergence Acceleration Solutions,Telecommunications,Georgia,Alpharetta,Atlanta,72.2592,13462018,55,1,convergence-acceleration-solutions
4094,Focus School Software,Education,Florida,St. Petersburg,Tampa,71.622,3215594,55,1,focus-school-software
4150,CopySource,Business Products & Services,Florida,Coral Springs,Miami,69.7607,15348563,55,3,copysource
4208,Callis Communications,Telecommunications,Alabama,Mobile,Mobile AL,67.8542,11407553,55,7,callis-communications
4364,Saturn Systems,Software,Minnesota,Duluth,Duluth MN-WI,62.7369,5256370,55,4,saturn-systems
4521,SmartLinx Solutions,Software,New Jersey,Manalapan,,57.0453,6208000,55,4,smartlinx-solutions
4680,ProMedical,Financial Services,Massachusetts,Lexington,Boston,52.3694,3036671,55,1,promedical
4743,XeteX,Manufacturing,Minnesota,Minneapolis,Minneapolis,50.3965,11404033,55,6,xetex
4924,a2z,Software,Maryland,Columbia,Baltimore,44.7238,5973350,55,7,a2z
636,The Rinaldi Group,Construction,New Jersey,Secaucus,New York City,733.0678,75469081,56,1,the-rinaldi-group
695,Orange Leaf Frozen Yogurt,Food & Beverage,Oklahoma,Oklahoma City,Oklahoma City OK,652.9412,26880000,56,1,orange-leaf-frozen-yogurt
1304,IBC,IT Services,Virginia,Reston,Washington DC,330.9813,18855000,56,1,ibc
1323,Titan Consulting,Business Products & Services,Pennsylvania,Cranberry Township,Pittsburgh PA,325.4173,8317218,56,4,titan-consulting
1459,Immersion Consulting,Government Services,Maryland,Annapolis,Baltimore,293.3008,16016879,56,1,immersion-consulting
2495,Rockhedge Herb Farms,Food & Beverage,New York,Pleasant Valley,Poughkeepsie-Newburgh-Middletown NY,152.39,5451336,56,2,rockhedge-herb-farms
2629,RiverRoad Waste Solutions,Environmental Services,New Jersey,Tinton Falls,New York City,142.8328,47571199,56,1,riverroad-waste-solutions
2834,AgencyEA,Advertising & Marketing,Illinois,Chicago,Chicago,130.1022,16891210,56,2,agencyea
3055,Recruit Veterans,Government Services,Texas,Cedar Park,Austin,116.3942,4437363,56,4,recruit-veterans
3275,i9 Sports,Consumer Products & Services,Florida,Riverview,,104.4681,7344735,56,5,i9-sports
3446,Hycomp,Manufacturing,Utah,Hyde Park,Logan UT-ID,96.3908,5740889,56,4,hycomp
3505,Fiberlay,Business Products & Services,Washington,Seattle,Seattle,94.1805,23336348,56,4,fiberlay
3708,TCG,Government Services,District of Columbia,Washington,Washington DC,85.8359,18864304,56,8,tcg
4024,RailPros,Engineering,California,Irvine,Los Angeles,74.0033,14945587,56,1,railpros
4055,Burnham Benefits Insurance Services,Insurance,California,Irvine,Los Angeles,73.0471,13648400,56,3,burnham-benefits-insurance-services
4611,Golfballs.com,Retail,Louisiana,Lafayette,Lafayette LA,54.6073,17718000,56,8,golfballscom
4936,24/7 Express Logistics,Logistics & Transportation,Missouri,North Kansas City,Kansas City MO-KS,44.4101,14131847,56,3,247-express-logistics
334,Caduceus Healthcare,Government Services,Georgia,Atlanta,Atlanta,1384.9234,6018335,57,2,caduceus-healthcare
588,CFS2,Financial Services,Oklahoma,Tulsa,Tulsa OK,810.8362,6211156,57,1,cfs2
803,Blue Acorn,IT Services,South Carolina,Charleston,Charleston-North Charleston SC,566.1181,3500364,57,2,blue-acorn
817,EHS Support,Environmental Services,Pennsylvania,Pittsburgh,Pittsburgh PA,558.2905,12302640,57,1,ehs-support
2304,Xtreme Solutions,IT Services,Georgia,Atlanta,Atlanta,168.9908,8337588,57,2,xtreme-solutions
2670,Rescue Social Change Group,Advertising & Marketing,California,San Diego,San Diego,140.621,7573792,57,6,rescue-social-change-group
2805,PowerON Services,Computer Hardware,California,Roseville,Sacramento--Arden-Arcade--Roseville CA,131.6481,24463339,57,7,poweron-services
2895,Prime Solutions,Government Services,Maryland,Columbia,Baltimore,125.9378,13824843,57,3,prime-solutions
3040,Ticomix,IT Services,Illinois,Loves Park,Rockford IL,117.1672,9163900,57,2,ticomix
3068,Dominion Digital,Business Products & Services,Virginia,Glen Allen,Richmond VA,115.536,16786111,57,3,dominion-digital
3618,Peloton Advantage,Health,New Jersey,Parsippany,New York City,89.286,11545789,57,2,peloton-advantage
3992,Benko Products,Manufacturing,Ohio,Sheffield Village,Cleveland,75.002,8901387,57,7,benko-products
4125,Apex Information Technologies,Business Products & Services,Minnesota,St. Paul,Minneapolis,70.5117,45883000,57,2,apex-information-technologies
4234,Advanta Industries,Manufacturing,Michigan,Petersburg,Monroe MI,66.9914,17789239,57,1,advanta-industries
4368,Brite Computers,IT Services,New York,Victor,Rochester NY,62.5616,27165570,57,4,brite-computers
4926,Phoenix Energy Technologies,Energy,California,Irvine,Los Angeles,44.6433,3958801,57,3,phoenix-energy-technologies
639,7Summits,Business Products & Services,Wisconsin,Milwaukee,Milwaukee-Waukesha-West Allis WI,727.6076,10248000,58,1,7summits
743,HostVentures.com,IT Services,Maryland,White Marsh,Baltimore,612.5349,12548324,58,2,hostventurescom
757,Etouches,Software,Connecticut,Norwalk,Bridgeport-Stamford-Norwalk CT,603.0568,8050000,58,3,etouches
998,Three Twins Ice Cream,Food & Beverage,California,Petaluma,San Francisco,448.1425,6695320,58,2,three-twins-ice-cream
1271,Loft9,Business Products & Services,Washington,Bellevue,Seattle,340.0998,9552683,58,1,loft9
1338,ALKU,Human Resources,Massachusetts,Andover,Boston,323.0971,38198291,58,3,alku
1632,ARCO/Murray National Construction,Construction,Illinois,Oakbrook Terrace,Chicago,260.9385,128272637,58,2,arcomurray-national-construction
1711,Entrance Software,Software,Texas,Houston,Houston,245.4635,7691718,58,5,entrance-software
1951,TGG Accounting,Financial Services,California,San Diego,San Diego,208.0318,5216173,58,3,tgg-accounting
2291,CollabraLink Technologies,IT Services,Virginia,McLean,Washington DC,170.1249,10827488,58,4,collabralink-technologies
2571,Blink Interactive,Business Products & Services,Washington,Seattle,Seattle,146.504,8243932,58,3,blink-interactive
2740,Bridge360,Software,Texas,Austin,Austin,136.3171,6036028,58,2,bridge360
2879,DataSong,Advertising & Marketing,California,San Francisco,San Francisco,127.2943,6036230,58,2,datasong
3148,Solaris,Manufacturing,Wisconsin,West Allis,Milwaukee-Waukesha-West Allis WI,111.7294,5992714,58,3,solaris
3319,MacDonald & Owen Lumber,Manufacturing,Wisconsin,Sparta,La Crosse WI-MN,101.8602,39888418,58,3,macdonald-owen-lumber
3668,Employment Screening Services,Human Resources,Alabama,Birmingham,Birmingham-Hoover AL,87.5169,12393822,58,8,employment-screening-services
3734,Chex Finer Foods,Food & Beverage,Massachusetts,Mansfield,Providence-New Bedford-Fall River RI-MA,84.6615,45266935,58,4,chex-finer-foods
3908,GourmetGiftBaskets.com,Food & Beverage,New Hampshire,Kingston,Boston,78.2826,20547806,58,6,gourmetgiftbasketscom
3939,The Online 401(k),Financial Services,California,San Francisco,San Francisco,76.8722,9329968,58,8,the-online-401k
4115,HR Works,Human Resources,New York,Fairport,Rochester NY,70.8511,4818000,58,4,hr-works
4754,STS International (Berkeley Springs WV),Government Services,West Virginia,Berkeley Springs,Hagerstown-Martinsburg MD-WV,50.1726,15026647,58,1,sts-international-berkeley-springs-wv
4945,Advocate,IT Services,Georgia,Norcross,Atlanta,44.2217,11868000,58,8,advocate
4955,Integrated Paper Services,Business Products & Services,Wisconsin,Appleton,Appleton WI,43.914,3949000,58,1,integrated-paper-services
4979,Securities Service Network,Real Estate,Tennessee,Knoxville,Knoxville TN,43.0541,114153829,58,9,securities-service-network
59,EcoSense Lighting,Manufacturing,California,Los Angeles,Los Angeles,5059.1489,15363997,59,1,ecosense-lighting
224,PcCareSupport,IT Services,Utah,Provo,Provo-Orem UT,2001.4546,2364977,59,1,pccaresupport
1144,CONTI Organization,Real Estate,Texas,Addison,Dallas,383.8109,21329814,59,1,conti-organization
1278,Knight Insurance Group,Insurance,California,Los Angeles,Los Angeles,337.955,238414135,59,2,knight-insurance-group
1416,R3 Strategic Support Group,Government Services,California,Coronado,San Diego,301.9359,7247459,59,2,r3-strategic-support-group
1943,BioAgilytix Labs,Health,North Carolina,Durham,Durham NC,208.6705,17088000,59,2,bioagilytix-labs
1946,Netpace,IT Services,California,San Ramon,San Francisco,208.4512,11961999,59,2,netpace
2142,Jelec USA,Energy,Texas,Houston,Houston,185.9562,41469953,59,5,jelec-usa
2165,First GREEN Bank,Financial Services,Florida,Mount Dora,Orlando FL,183.3791,9336285,59,1,first-green-bank
2609,e4,Health,Pennsylvania,West Chester,Philadelphia,143.9731,12804921,59,1,e4
2635,Insight Sourcing Group,Business Products & Services,Georgia,Atlanta,Atlanta,142.6129,14230513,59,7,insight-sourcing-group
2649,Wireless Logic,Retail,Wisconsin,Menomonee Falls,Milwaukee-Waukesha-West Allis WI,141.6034,13361886,59,4,wireless-logic
2801,Central Research,Government Services,Arkansas,Lowell,Fayetteville-Springdale-Rogers AR-MO,131.8477,6739317,59,4,central-research
3320,Mr. Rekey Locksmith,Real Estate,Texas,Pflugerville,Austin,101.6791,3967637,59,1,mr-rekey-locksmith
4232,TVGla,Advertising & Marketing,California,Los Angeles,Los Angeles,67.0026,9348056,59,2,tvgla
119,SimpliSafe Home Security,Security,Massachusetts,Cambridge,Boston,3075.8406,38454825,60,1,simplisafe-home-security
365,Simon & Simon,Consumer Products & Services,Pennsylvania,Philadelphia,Philadelphia,1307.8099,3882064,60,1,simon-simon
502,Cornerstone Advisors Group,Health,Connecticut,Georgetown,Bridgeport-Stamford-Norwalk CT,940.4882,11582756,60,3,cornerstone-advisors-group
659,Fora Financial,Financial Services,New York,New York,New York City,698.1928,18418300,60,1,fora-financial
691,VizExplorer,Software,California,San Diego,San Diego,656.2322,5424000,60,1,vizexplorer
823,Dream Finders Homes,Real Estate,Florida,Orange Park,Jacksonville FL,552.2568,84865345,60,4,dream-finders-homes
971,Blink Reaction,IT Services,New Jersey,Manalapan,New York City,463.278,5266176,60,2,blink-reaction
1078,R P Funding,Financial Services,Florida,Maitland,Orlando FL,414.0074,14792099,60,2,r-p-funding
1407,Affinity Group Management,Real Estate,Missouri,Kansas City,Kansas City MO-KS,304.5073,14040157,60,1,affinity-group-management
1557,WaterFilters.net,Retail,Minnesota,Zumbrota,Red Wing MN,273.0499,38318012,60,6,waterfiltersnet
1702,Load Delivered Logistics,Logistics & Transportation,Illinois,Chicago,Chicago,247.1707,44520155,60,3,load-delivered-logistics
1809,Ammo Brothers,Retail,California,Ontario,Riverside-San Bernardino-Ontario CA,228.0663,19708530,60,3,ammo-brothers
1813,Apothecary by Design,Health,Maine,Portland,Portland-South Portland-Biddeford ME,227.777,32857700,60,1,apothecary-by-design
1849,Strategic Delivery Solutions,Logistics & Transportation,New York,Farmingdale,New York City,221.8634,30756149,60,1,strategic-delivery-solutions
1877,Bongo International,Logistics & Transportation,Florida,St. Petersburg,Tampa,218.6663,15667236,60,3,bongo-international
2151,Engine Shop,Advertising & Marketing,New York,New York,New York City,184.7599,9605944,60,1,engine-shop
2428,ebQuickstart,Business Products & Services,Texas,Austin,Austin,158.4614,5153531,60,3,ebquickstart
2551,One Click Ventures,Media,Indiana,Greenwood,Indianapolis IN,147.779,8498625,60,4,one-click-ventures
2800,Hassett Willis,Government Services,District of Columbia,Washington,Washington DC,131.8753,13204652,60,2,hassett-willis
2977,Centroid,IT Services,Michigan,Troy,Detroit,120.6283,22576867,60,1,centroid
3024,RKON Technologies,IT Services,Illinois,Chicago,Chicago,118.0577,40495740,60,2,rkon-technologies
3049,Merrick Systems,Energy,Texas,Houston,Houston,116.6248,18127195,60,5,merrick-systems
3195,Integra Enclosures,Manufacturing,Ohio,Mentor,Cleveland,109.274,9441352,60,8,integra-enclosures
3402,Navel Technologies,IT Services,Michigan,Wixom,Detroit,98.1862,6236458,60,1,navel-technologies
3572,PM Technologies (Atlanta),IT Services,Georgia,Atlanta,Atlanta,91.2783,9447028,60,2,pm-technologies-atlanta
3700,Product Support Solutions,Telecommunications,California,Dublin,San Francisco,86.0442,16711211,60,6,product-support-solutions
3864,Javen Technologies,IT Services,Minnesota,Bloomington,Minneapolis,79.9107,9428846,60,5,javen-technologies
3980,Berkshire Hathaway HomeServices Nevada Arizona Properties,Real Estate,Nevada,Las Vegas,Las Vegas-Paradise NV,75.6385,15715577,60,3,berkshire-hathaway-homeservices-nevada-arizona-properties
4116,US-Analytics,IT Services,Texas,Irving,Dallas,70.8222,13883464,60,2,us-analytics
4151,Ducts Unlimited Mechanical Systems,Construction,Colorado,Arvada,Denver,69.7548,9461065,60,4,ducts-unlimited-mechanical-systems
